participant,rounds,audienceVisible,averageTime


PART1,1,True,28.67789

PART1,9,True,7.434664

PART1,9,True,6.660357

PART1,10,True,8.04086

PART2,6,True,4.393255

PART2,2,True,11.22086

PART2,3,True,9.015409

PART2,3,True,7.276578

PART3,6,True,6.602801

PART3,9,True,6.392902

PART3,2,True,11.20426

PART3,1,True,8.734276

PART3,7,True,11.74925

PART4,6,True,9.604917

PART4,6,True,8.734856

PART4,7,True,7.434705

PART4,11,True,7.784968

PART5,8,True,9.603001

PART5,10,True,6.78035

PART5,3,True,18.95357

PART5,14,True,10.38335

PART6,8,True,6.281784

PART6,7,True,11.82863
