participant,rounds,audienceVisible,averageTime,Sound,Category,Trial,AveragePress
1,9,TRUE,7.434664,TRUE,Audience + Sound,2,1.4869328
1,9,TRUE,6.660357,TRUE,Audience + Sound,3,1.3320714
1,10,TRUE,8.04086,TRUE,Audience + Sound,4,1.461974545
2,6,TRUE,4.393255,TRUE,Audience + Sound,1,1.255215714
2,2,TRUE,11.22086,TRUE,Audience + Sound,2,7.480573333
2,3,TRUE,9.015409,TRUE,Audience + Sound,3,4.5077045
2,3,TRUE,7.276578,TRUE,Audience + Sound,4,3.638289
3,6,TRUE,6.602801,TRUE,Audience + Sound,1,1.886514571
3,9,TRUE,6.392902,TRUE,Audience + Sound,2,1.2785804
3,2,TRUE,11.20426,TRUE,Audience + Sound,3,7.469506667
3,1,TRUE,8.734276,TRUE,Audience + Sound,4,8.734276
4,7,TRUE,11.74925,TRUE,Audience + Sound,1,2.9373125
4,6,TRUE,9.604917,TRUE,Audience + Sound,2,2.744262
4,6,TRUE,8.734856,TRUE,Audience + Sound,3,2.495673143
4,7,TRUE,7.434705,TRUE,Audience + Sound,4,1.85867625
5,11,TRUE,7.784968,TRUE,Audience + Sound,1,1.297494667
5,8,TRUE,9.603001,TRUE,Audience + Sound,2,2.134000222
5,10,TRUE,6.78035,TRUE,Audience + Sound,3,1.232790909
5,3,TRUE,18.95357,TRUE,Audience + Sound,4,9.476785
6,14,TRUE,10.38335,TRUE,Audience + Sound,1,1.384446667
6,8,TRUE,6.281784,TRUE,Audience + Sound,2,1.395952
6,7,TRUE,11.82863,TRUE,Audience + Sound,3,2.9571575
14,6,FALSE,6.659533,TRUE,Sound,1,1.902723714
14,3,FALSE,7.337565,TRUE,Sound,2,3.6687825
14,1,FALSE,12.41235,TRUE,Sound,3,12.41235
14,6,FALSE,16.29808,TRUE,Sound,4,4.656594286
15,2,FALSE,15.09002,TRUE,Sound,1,10.06001333
15,2,FALSE,5.716427,TRUE,Sound,2,3.810951333
15,2,FALSE,5.584942,TRUE,Sound,3,3.723294667
15,10,FALSE,7.21763,TRUE,Sound,4,1.312296364
8,12,FALSE,8.274628,FALSE,None,1,1.273019692
8,5,FALSE,8.036483,FALSE,None,2,2.678827667
8,15,FALSE,11.55387,FALSE,None,3,1.44423375
8,5,FALSE,6.608289,FALSE,None,4,2.202763
9,11,FALSE,9.572144,FALSE,None,1,1.595357333
9,10,FALSE,10.34525,FALSE,None,2,1.880954545
9,5,FALSE,5.437439,FALSE,None,3,1.812479667
9,7,FALSE,7.885296,FALSE,None,4,1.971324
10,7,FALSE,5.56916,FALSE,None,1,1.39229
10,8,FALSE,5.930616,FALSE,None,2,1.317914667
10,15,FALSE,8.791567,FALSE,None,3,1.098945875
10,3,FALSE,20.01497,FALSE,None,4,10.007485
